starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:24:28 2023	1680242068	0	39735	39735	39735
Fri Mar 31 11:25:22 2023	1680242122	0	39739	39740	39739
Fri Mar 31 11:23:57 2023	1680242037	0	39744	39744	39744
Fri Mar 31 11:25:20 2023	1680242120	0	39905	39906	39905
Fri Mar 31 11:24:20 2023	1680242060	0	40070	40070	40070
Fri Mar 31 11:23:50 2023	1680242030	0	40097	40097	40097
Fri Mar 31 11:24:19 2023	1680242059	0	40099	40099	40099
Fri Mar 31 11:25:22 2023	1680242122	0	40142	40142	40142
Fri Mar 31 11:23:03 2023	1680241983	0	40173	40173	40173
Fri Mar 31 11:23:58 2023	1680242038	0	40405	40406	40405
Fri Mar 31 11:23:46 2023	1680242026	0	40480	40481	40480
Fri Mar 31 11:24:31 2023	1680242071	1	40666	40667	40666
Fri Mar 31 11:25:21 2023	1680242121	1	40669	40670	40669
Fri Mar 31 11:25:19 2023	1680242119	1	40779	40779	40778
Fri Mar 31 11:22:59 2023	1680241979	3	40880	40883	40880
Fri Mar 31 11:22:59 2023	1680241979	3	40880	40883	40880
Fri Mar 31 11:22:59 2023	1680241979	3	40883	40886	40883
Fri Mar 31 11:22:59 2023	1680241979	4	40889	40893	40889
Fri Mar 31 11:22:59 2023	1680241979	3	40898	40901	40898
Fri Mar 31 11:25:17 2023	1680242117	0	40901	40901	40901
Fri Mar 31 11:22:59 2023	1680241979	3	40898	40901	40898
Fri Mar 31 11:25:18 2023	1680242118	0	41039	41040	41039
Fri Mar 31 11:24:27 2023	1680242067	0	41081	41082	41081
Fri Mar 31 11:22:59 2023	1680241979	3	41099	41102	41099
Fri Mar 31 11:24:27 2023	1680242067	0	41102	41103	41102
Fri Mar 31 11:24:27 2023	1680242067	0	41111	41111	41111
Fri Mar 31 11:23:04 2023	1680241984	0	41251	41251	41251
Fri Mar 31 11:24:32 2023	1680242072	0	41272	41272	41272
Fri Mar 31 11:24:30 2023	1680242070	0	41304	41304	41304
Fri Mar 31 11:23:04 2023	1680241984	0	41370	41370	41370
Fri Mar 31 11:25:15 2023	1680242115	0	41587	41587	41587
Fri Mar 31 11:22:59 2023	1680241979	3	41735	41738	41735
Fri Mar 31 11:23:04 2023	1680241984	0	41749	41749	41749
Fri Mar 31 11:24:39 2023	1680242079	0	41750	41750	41750
Fri Mar 31 11:24:21 2023	1680242061	0	41809	41810	41809
Fri Mar 31 11:25:15 2023	1680242115	0	42006	42006	42006
Fri Mar 31 11:23:04 2023	1680241984	0	42240	42240	42240
Fri Mar 31 11:24:32 2023	1680242072	0	42277	42278	42277
Fri Mar 31 11:24:35 2023	1680242075	0	42319	42319	42319
Fri Mar 31 11:23:00 2023	1680241980	0	42396	42396	42395
Fri Mar 31 11:24:36 2023	1680242076	0	42511	42511	42510
Fri Mar 31 11:25:14 2023	1680242114	0	42653	42653	42652
Fri Mar 31 11:24:39 2023	1680242079	0	42716	42716	42716
Fri Mar 31 11:23:03 2023	1680241983	1	42749	42749	42748
Fri Mar 31 11:24:36 2023	1680242076	0	43048	43049	43048
Fri Mar 31 11:22:59 2023	1680241979	3	43057	43060	43057
Fri Mar 31 11:22:59 2023	1680241979	3	43078	43081	43078
Fri Mar 31 11:23:03 2023	1680241983	0	43156	43156	43156
Fri Mar 31 11:23:03 2023	1680241983	0	43159	43159	43159
Fri Mar 31 11:23:03 2023	1680241983	0	43165	43165	43165
Fri Mar 31 11:24:32 2023	1680242072	0	43167	43167	43167
Fri Mar 31 11:22:59 2023	1680241979	3	43395	43398	43395
Fri Mar 31 11:22:59 2023	1680241979	3	43413	43415	43412
Fri Mar 31 11:24:42 2023	1680242082	0	43430	43430	43430
Fri Mar 31 11:25:02 2023	1680242102	0	43573	43574	43573
Fri Mar 31 11:24:51 2023	1680242091	0	43602	43602	43602
Fri Mar 31 11:25:13 2023	1680242113	0	43616	43616	43616
Fri Mar 31 11:24:50 2023	1680242090	0	43826	43826	43826
Fri Mar 31 11:25:08 2023	1680242108	0	43987	43987	43987
Fri Mar 31 11:25:15 2023	1680242115	0	44129	44129	44129
Fri Mar 31 11:25:15 2023	1680242115	0	44146	44147	44146
Fri Mar 31 11:25:15 2023	1680242115	0	44152	44152	44152
Fri Mar 31 11:24:44 2023	1680242084	0	44184	44184	44184
Fri Mar 31 11:24:53 2023	1680242093	0	44218	44219	44218
Fri Mar 31 11:24:39 2023	1680242079	0	44234	44234	44234
Fri Mar 31 11:24:52 2023	1680242092	0	44298	44298	44298
Fri Mar 31 11:24:45 2023	1680242085	0	44347	44347	44347
Fri Mar 31 11:24:42 2023	1680242082	0	44526	44526	44526
Fri Mar 31 11:25:12 2023	1680242112	0	44608	44608	44608
Fri Mar 31 11:23:00 2023	1680241980	0	44636	44636	44636
Fri Mar 31 11:25:08 2023	1680242108	0	44738	44738	44737
Fri Mar 31 11:25:05 2023	1680242105	0	44765	44766	44765
Fri Mar 31 11:24:49 2023	1680242089	0	44857	44857	44857
Fri Mar 31 11:24:55 2023	1680242095	0	44942	44942	44942
Fri Mar 31 11:24:55 2023	1680242095	0	44954	44955	44954
Fri Mar 31 11:25:02 2023	1680242102	0	45029	45029	45029
Fri Mar 31 11:24:57 2023	1680242097	0	45050	45050	45049
Fri Mar 31 11:24:52 2023	1680242092	0	45175	45175	45175
Fri Mar 31 11:25:04 2023	1680242104	0	45210	45210	45210
Fri Mar 31 11:24:45 2023	1680242085	0	45262	45262	45261
Fri Mar 31 11:25:08 2023	1680242108	0	45273	45274	45273
Fri Mar 31 11:25:07 2023	1680242107	0	45343	45343	45343
Fri Mar 31 11:24:47 2023	1680242087	1	45363	45364	45363
Fri Mar 31 11:24:30 2023	1680242070	0	45558	45558	45558
Fri Mar 31 11:24:51 2023	1680242091	0	45559	45559	45559
Fri Mar 31 11:24:46 2023	1680242086	0	45773	45773	45773
Fri Mar 31 11:25:03 2023	1680242103	0	45781	45781	45781
Fri Mar 31 11:25:00 2023	1680242100	0	45781	45781	45781
Fri Mar 31 11:24:45 2023	1680242085	0	45787	45787	45787
Fri Mar 31 11:24:48 2023	1680242088	0	45869	45869	45869
Fri Mar 31 11:24:39 2023	1680242079	2	45928	45930	45927
Fri Mar 31 11:24:55 2023	1680242095	0	46194	46194	46194
Fri Mar 31 11:24:59 2023	1680242099	0	46203	46204	46203
Fri Mar 31 11:24:29 2023	1680242069	0	46208	46208	46208
Fri Mar 31 11:24:39 2023	1680242079	1	46217	46218	46216
Fri Mar 31 11:24:55 2023	1680242095	0	46236	46237	46236
Fri Mar 31 11:25:00 2023	1680242100	0	46274	46274	46274
Fri Mar 31 11:25:07 2023	1680242107	0	46274	46274	46274
Fri Mar 31 11:25:03 2023	1680242103	0	46614	46614	46614
